salario_medio,herramienta,valor_booleano
45000.0,11 - java,1
39000.0,11 - java,1
57000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
45000.0,11 - java,1
45000.0,11 - java,1
45000.0,11 - java,1
27000.0,11 - java,1
45000.0,11 - java,1
39000.0,11 - java,1
27000.0,11 - java,1
33000.0,11 - java,1
39000.0,11 - java,1
39000.0,11 - java,1
39000.0,11 - java,1
39000.0,11 - java,1
39000.0,11 - java,1
39000.0,11 - java,1
39000.0,11 - java,1
33000.0,11 - java,1
39000.0,11 - java,1
33000.0,11 - java,1
51000.0,11 - java,1
45000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
33000.0,11 - java,1
35000.0,05 - base de datos,1
49500.0,05 - base de datos,1
27500.0,05 - base de datos,1
31000.0,05 - base de datos,1
57500.0,05 - base de datos,1
47500.0,05 - base de datos,1
48000.0,05 - base de datos,1
50000.0,05 - base de datos,1
38500.0,05 - base de datos,1
49000.0,05 - base de datos,1
55000.0,05 - base de datos,1
49500.0,05 - base de datos,1
51000.0,05 - base de datos,1
30000.0,05 - base de datos,1
30000.0,05 - base de datos,1
33000.0,05 - base de datos,1
49500.0,05 - base de datos,1
28500.0,05 - base de datos,1
37500.0,05 - base de datos,1
42000.0,05 - base de datos,1
40500.0,05 - base de datos,1
25500.0,05 - base de datos,1
24000.0,05 - base de datos,1
37500.0,05 - base de datos,1
46500.0,05 - base de datos,1
34500.0,05 - base de datos,1
34500.0,05 - base de datos,1
31500.0,05 - base de datos,1
43500.0,05 - base de datos,1
49500.0,05 - base de datos,1
18500.0,05 - base de datos,1
25500.0,05 - base de datos,1
49500.0,05 - base de datos,1
28500.0,05 - base de datos,1
45000.0,05 - base de datos,1
30000.0,05 - base de datos,1
27000.0,05 - base de datos,1
25500.0,05 - base de datos,1
49500.0,05 - base de datos,1
49500.0,05 - base de datos,1
52500.0,05 - base de datos,1
25500.0,05 - base de datos,1
39000.0,05 - base de datos,1
43500.0,05 - base de datos,1
43500.0,05 - base de datos,1
49500.0,05 - base de datos,1
52500.0,05 - base de datos,1
21000.0,05 - base de datos,1
22500.0,05 - base de datos,1
39000.0,05 - base de datos,1
31500.0,05 - base de datos,1
28500.0,05 - base de datos,1
49500.0,05 - base de datos,1
37500.0,05 - base de datos,1
37500.0,05 - base de datos,1
42000.0,05 - base de datos,1
37500.0,05 - base de datos,1
28500.0,05 - base de datos,1
49500.0,05 - base de datos,1
36000.0,05 - base de datos,1
34500.0,05 - base de datos,1
34500.0,05 - base de datos,1
52500.0,05 - base de datos,1
18500.0,05 - base de datos,1
46500.0,05 - base de datos,1
28500.0,05 - base de datos,1
36000.0,05 - base de datos,1
31500.0,05 - base de datos,1
52500.0,05 - base de datos,1
63000.0,05 - base de datos,1
36000.0,05 - base de datos,1
33000.0,05 - base de datos,1
39000.0,05 - base de datos,1
36000.0,05 - base de datos,1
33000.0,05 - base de datos,1
39000.0,05 - base de datos,1
57000.0,05 - base de datos,1
17000.0,05 - base de datos,1
39000.0,05 - base de datos,1
36000.0,05 - base de datos,1
40500.0,05 - base de datos,1
34500.0,05 - base de datos,1
